longi;lat;address;type;classOf
-46490063;-23522787;JOSE SILVA ALCANTARA FILHO,R,1031;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46773393;-23673297;SANTANA,COM,AV,774;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46651898;-23531575;VITORINO CARMILO,R,599;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46454974;-23538945;AMERICO SALVADOR NOVELLI,R,265;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46539564;-23599363;ERVA IMPERIAL,R,501;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46704938;-23743565;ROQUE DO PARAGUASSU,R,190;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46766027;-23630816;AMADEU DA SILVA SAMELO,R,423;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46743017;-23659403;LUIS ANTONIO VERNEY,R,98;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46491950;-23586723;AUGUSTO FERREIRA RAMOS,R,9;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46757991;-23408249;MOGEIRO,R,207;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46654057;-23497448;JOSE RANGEL DE CAMARGO,R,500;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46575142;-23570175;FAROL PAULISTANO,R,410;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46664681;-23672783;HERMENEGILDO MARTINI,R,S/N;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46604422;-23629079;NOSSA SENHORA DAS MERCES,R,1315;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46600559;-23492830;ORLANDO RIBEIRO DANTAS,R,154;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46710942;-23476568;MONSENHOR MANOEL GOMES,R,654;AMA ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46645846;-23628113;CECI,AV,2235;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46651378;-23523016;ANHAGUERA,R,484;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46612505;-23482098;NOVA CANTAREIRA,AV,1476;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46645012;-23652993;FRANCISCO DE PAULA QUINTANILHA RIBEIRO, AV, 860;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46654078;-23561088;CARLOS COMENALLE,R,32;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46645012;-23652993;FRANCISCO DE PAULA Q RIBEIRO,AV,860;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46659460;-23695249;CORREGO AZUL,R,433;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46643979;-23548579;MARTINS FONTES,R,208;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46716684;-23524112;BRIG GAVI´?¢O PEIXOTO, R.727;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46608202;-23587114;XAVIER DE ALMEIDA,R,210;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46693656;-23499520;BONIFACIO CUBAS,R,304;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46691259;-23702945;ARTHUR NASCIMENTO JR,R,120;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46603666;-23555510;MARINA CRESPI,R,91;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46704621;-23722254;CARLOS PEZZOLO,DR,S/N;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46681892;-23671108;SANTANA,R,275;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46412487;-23557468;MACABU,R,35;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46434612;-23553169;ANDREAS AMON,R,150;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46592704;-23606818;ALMIRANTE DELAMARE,AV,1534;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46598278;-23530564;JEQUITINHONHA,R,360;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46685595;-23755005;SAO CAETANO DO SUL,R,381;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46737938;-23403315;JULIO DE OLIVEIRA,R,80;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46727089;-23484117;MENOTTI LAUDISIO,AV,100;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46492813;-23611267;JOAO LOPES DE LIMA,R,1151;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46440472;-23496403;ANTONIO GAMA DE CERQUEIRA,PROF,R,647;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
